,x,y,year,topic,category,authors
0,8.526848,9.177974,2026,"Accounting scandals, auditor ratification, and institutional investors: evidence from the Wirecard scandal in Germany",Auditing,Tessa Kunkel
1,9.151311,8.945426,2026,Media framing and the transformation of the UK audit regulator after Carillion,Auditing,"Alan Duboisee de Ricquebourg, Warren Maroun, Dannielle Cerbone, Wayne van Zijl"
2,6.206341,6.7859674,2026,Navigating credibility in unregulated assurance markets,Auditing,Conor Clune
3,9.408384,9.374101,2026,Do assigned audit partners perform higher quality audits than self-selected auditors?,Auditing,"Jan Bouwens, Olof Bik, Tjibbe Bosman"
4,9.39856,9.165123,2026,Local-office-unaffiliated engagement quality reviewers and audit quality: evidence from China,Auditing,"Weiyan Hu, Xuejiao Liu, Wenqi Pei, Baohua Xin"
5,9.422728,9.355976,2026,Political contributions by audit engagement partners surrounding the implementation of mandatory partner name disclosure in the US,Auditing,Lianghui Wang
6,8.252359,9.268399,2026,Critical audit matters and debt pricing: unveiling the moderating effect of corporate governance,Auditing,"Atm Karim, Tianhui Lu, Mohamed Elsayed"
7,4.884707,10.523849,2026,An examination of the impact of sanction on KAM disclosure: evidence from Taiwan,Auditing,"Shu-Ling Yeh, Ai-Ru Yen, Hsiao-Lun Lin, Anxuan Xie"
8,8.557057,9.004357,2026,Educational distance between CEO and auditors: evidence from key audit matters and audit pricing in China,Auditing,"Zhenyuan Qian, Xiaogang Bi, Chen Bu"
9,8.909864,9.333034,2026,Auditing in times of crisis: evidence from the COVID-19 pandemic,Auditing,Gilad Livne
10,8.154865,9.289448,2026,Auditor resignation and internal control opinions in financially distressed firms,Auditing,"Emrah Ekici, Onur Oz"
11,9.1078825,9.214065,2026,Internal control audit deficiency rates and the quality of internal control audit opinions,Auditing,Al Ghosh
12,5.7886586,8.573259,2026,Opportunistic CSR assurance and implied cost of equity,Auditing,"Yusuf Ag, Sardar Ahmad, Charlie Cai"
13,8.735371,9.275543,2026,Short-selling threats and equity incentives to audit committees: evidence from Reg SHO,Auditing,"Simon Fung, Janus Jian Zhang, Zhenyu Zhang, Stephen Zhou"
14,9.226698,8.8697405,2026,"When the dead still hire: zombie firms, audit signals, and employment outcomes",Auditing,"Fatemeh Anbarloo, Wenxia Ge, Tiemei (Sarah) Li"
15,8.063568,9.031133,2026,Residency beyond borders: executives’ foreign ties and audit pricing,Auditing,"Chen Bu, Ziyu Liu"
16,8.729595,9.28554,2026,Determinants of voluntary audit following reduced obligations: the case of SMEs in France after the “PACTE” law,Auditing,"Aymen Abbadi, Hélène de Brébisson"
17,8.657337,9.082391,2026,Monitoring the auditor: evidence from institutional investors’ votes,Auditing,"Luciana Orozco, Silvina Rubio"
18,8.803775,9.229164,2026,"When auditors talk, do retail investors listen? Evidence from expanded audit",Auditing,"Lin Wang, Donghui Wu, Jianyu Zhao, Yifan Hou"
19,9.095197,8.882996,2026,When does audit quality pay off? Institutional development and the shift from signaling to compliance in auditor choice,Auditing,Marit Kringlen
20,8.524784,8.105448,2026,Auditors and AI: understanding identity threats and the process of normalization,Auditing,"Arina Hranovska, Martijn van der Steen, Lucia Bellora-Bienengräber, Sebastian Firk, Ann Tank"
21,8.156469,8.133431,2026,Availability of AI tools and their effect on the auditing process,Auditing,"Barbara Schöndube-Pirchegger, Jens Robert Schöndube"
22,8.192763,8.363495,2026,Can AI reduce audit quality? Cross-domain knowledge transfer and the cost of specialization,Auditing,"Yujing Gong, Yanxiong Gong, Rui Sun"
23,9.083738,9.385617,2026,Do all BIG 4 auditors deliver the same quality in Europe? Testing knowledge spillover vs self-interest threat in the NAFs–KAMs relationship,Auditing,"Anojan Vickneswaran, Ferdinand Gul"
24,7.1435976,9.091427,2026,How large language models affect audit quality: causal evidence from a randomized field experiment,Auditing,"Markus Jezierski, Sascha Kaltenpoth, Oliver Müller, Barbara E. Weißenberger"
25,9.2364025,9.126911,2026,Do administrative staff matter for audit quality?,Auditing,"Feng Chen, Song Chen, Ting-Chiao Huang, Linda Myers"
26,8.880656,9.163353,2026,Does auditor rotation deliver a fresh look? Evidence from the content and specificity of KAM disclosures,Auditing,"Yussu Hsiao, Wuchun Chi, Yu-Tzu Chang, Anxuan Xie"
27,4.7747974,4.3858924,2026,Negative environmental and climate news and environmental and climate-related critical audit matters,Auditing,"Wuchun Chi, Cheng-Yu Hsieh, Sabrina Kang, Shu-Hsien Lin"
28,9.339958,9.243684,2026,Key audit matters and their specific audit procedures – what audit reports tell us about audit quality at the account and entity level,Auditing,"Annalena Kaakschlief, Christoph Teucher, Nicole Ratzinger-Sakel"
29,9.394964,8.840642,2026,Media coverage and job entry in the audit profession,Auditing,"Janik Wecks, Johannes Voshaar, Jochen Zimmermann"
30,9.057395,8.435862,2026,"Does having accountant parents matter for auditors’ career choices, career advancement, and audit quality",Auditing,"Tobias Svanström, Limei Che, Oscar Stålnacke"
31,9.177029,9.30268,2026,Do internally promoted auditors outperform externally hired ones?,Auditing,"Guoling Bu, Jun Chen, Christian Peters"
32,9.10877,9.135857,2026,Can rainmakers in accounting firm be both revenue stars and audit quality champions?,Auditing,"Ye Ji Lee, Younghan Lee"
33,9.324869,8.950663,2026,Where proxies meet practice: qualitative insights into audit quality measurement,Auditing,"Markus Mottinger, Alexander Hofer"
34,9.232085,9.095285,2026,Do mandated checklists enhance audit quality? Evidence from a natural experiment,Auditing,"Gopal Krishnan, Nagarjun S, Bhavya Singhvi"
35,9.204966,8.962631,2026,Auditing on the information superhighway: mobile internet and local audit market competition,Auditing,"Erdong Wang, Jiexuan Wang, Keyuan Zhang, Yiwen Chen"
36,7.96746,9.205535,2026,Economic consequences of country-by-country reporting: evidence from audit fees,Auditing,"Justin Chircop, Shaohua He, Jiancheng (Duncan) Liu"
37,9.252105,9.2889595,2026,"Non-compete agreement enforceability, audit effectiveness, and efficiency",Auditing,"Pradeep Sapkota, Md Nazmul Islam, Sarfraz Khan"
38,6.774236,6.770932,2026,Assessing blockchain adoption in accounting and auditing in Sweden,Auditing,Gabriela Ariciu
39,8.140162,8.131789,2026,The impact of artificial intelligence on audit task outcomes,Auditing,Annika Bonrath
40,9.402598,8.772488,2026,Audit offices’ cybersecurity experience and industry range,Auditing,"Christelle Alkhoury, Javad Rajabalizadeh"
41,9.515481,9.224273,2026,Hop on a Zoom? Do client incivility and virtual work modalities impact auditors’ perceptions of organizational support?,Auditing,Sarah McCoy
42,8.210298,8.029114,2026,Small seems plausible: effects of magnitude appearance on auditors’ causal and skeptical judgments of AI-detected correlations,Auditing,"Tracie Majors, Sebastian Stirnkorb, Isaac Yamoah"
43,8.2988825,8.189378,2026,Quantum cognition and ethical pathways in AI governance: an examination of chief audit executives’ reporting standards and decision-making dynamics,Auditing,"Waymond Rodgers, Salem Al Fayi"
44,9.236129,9.240313,2026,Trust under scrutiny: audit partner-CFO trust and audit quality,Auditing,Ole-Kristian Hope
45,9.147607,8.956834,2026,FRC quality inspections and materiality judgment,Auditing,"Omar de Ines Anton, Stavriana Hadjigavriel, Arpine Maghakyan"
46,7.9719934,9.350771,2026,Cross-border audit regulation and debt structure concentration: evidence from PCAOB international inspections,Auditing,"Yiye Liu, Yangxin Yu, Xindong Zhu, Simon Fung"
47,9.136599,9.308967,2026,"Audit committee, internal audit function and audit quality: emerging market perspective",Auditing,"Oksana Kim, Byron Pike"
48,8.614625,9.28728,2026,No glory in prevention? The case of the audit association of German private banks,Auditing,"Fabian Müller, Barbara E. Weißenberger"
49,9.146193,8.93831,2026,The power of knowledge: soft governance and audit quality,Auditing,"Youdi Zhu, Fang Zhang"
50,8.992525,8.922517,2026,Secrecy culture and the communicative value of key audit matters: evidence from Europe,Auditing,"Lay Huay Yeap, Pamela Kent, Natalie Elms, Daifei (Troy) Yao"
51,8.866924,8.961738,2026,Auditor reputation trap,Auditing,Sebastian Kronenberger
52,9.4126,9.304784,2026,How audit partners shape key audit matters (KAMs)?,Auditing,"Yu-Tzu Chang, Wuchun Chi"
53,9.003148,8.490143,2026,Being a professional accountant: individual auditors’ propriety legitimacy judgements under intense audit oversight,Auditing,"Sanjay Bissessur, Gerjanne Beltman, Isabelle van Dijk, Sanne Gaspersz"
54,9.328131,8.635124,2026,"Human capital development in auditing: a qualitative study of learning mechanisms, challenges, and differences across audit firms",Auditing,"Lobke Weijers, Bart Dierynck, Claudia Marangoni, Christian Peters"
55,9.412892,8.830462,2026,Audit teams: a systematic review and integrative framework,Auditing,"Bryan Malki, Timur Uman, Miguel Gil"
56,2.4212263,10.237075,2026,ESG assurance and the timeliness of ESG reporting: evidence from Taiwan,Auditing,"Feng-Yi Lin, Szu-Yin (Jennifer) Wu, Teng-Shih Wang"
57,9.077035,8.230902,2026,Sustainability expertise in the audit profession: evidence from error restatements,Auditing,"Janine Maniora, Kajatheepan Navanathan"
58,6.21669,5.449512,2026,The impact of sustainability assurance and the choice of assurance provider on narrative sustainability disclosure: evidence from the European Union’s Non-Financial Reporting Directive,Auditing,"Aaron Kasischke, Brigitte Eierle"
59,2.3608904,10.120015,2026,ESG assurance and anti-ESG laws: evidence from state-level laws,Auditing,"Siqi Fan, Matthew Hinton"
60,4.5174427,4.2520604,2026,Auditors’ response to corporate climate lobbying,Auditing,"Dimitrios Gounopoulos, Ole-Kristian Hope, Vlad-Andrei Porumb, Mingran Zhang"
61,9.229113,7.122772,2026,Relative age and career outcomes: evidence from the accounting profession,Auditing,"Huan Ke, Janus Jian Zhang, Byron Song, Di Guo"
62,9.322174,8.546198,2026,Generation Z in the Swedish audit profession: generational differences in work values and implications for retention,Auditing,"Nellie Gertsson, Elin Smith, Elina Holm, Adam Turesson"
