Category,Name,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Uni_1,Uni_2,Uni_3,Uni_4,Uni_5,Uni_6,Uni_7,Uni_8,Uni_9,Uni_10,Uni_11,Uni_12,Uni_13,Uni_14,Uni_15,Uni_16
Financial Reporting,Regulating by New Technology: The Impacts of the SEC Data Analytics on the SEC Investigations,Tian Deng,,,,,,,,,,,,,,,,CUHK-Shenzhen,,,,,,,,,,,,,,,
Financial Reporting,Do SPAC Combinations Affect Their Peers’ Financial Reporting Choices?,Daniel Cohen,Sunay Mutlu,Kelly Ha,John Schomburger,,,,,,,,,,,,,Vanderbilt University,Kennesaw State University,Kennesaw State University,Texas A&M University,,,,,,,,,,,,
Financial Reporting,Voluntary Public Disclosure of Revenues by Private Companies in the United States,Thomas Bourveau,Yiran Kang,Wenqiang Pan,Robert Stoumbos,,,,,,,,,,,,,Columbia University,City University of Hong Kong,Columbia University,ESSEC Business School,,,,,,,,,,,,
Financial Reporting,How does more mandated public disclosure by private firms affect public firms’disclosure of customer identities?,Jeffrey Ng,Chunyan Wei,Janus Jian Zhang,,,,,,,,,,,,,,University of Hong Kong,Shanghai University of Finance and Economics,Hong Kong Baptist University,,,,,,,,,,,,,
Financial Reporting,Real Effects of Mandatory Disclosure of Proprietary Information,Mary Lee,,,,,,,,,,,,,,,,ESSEC Business School,,,,,,,,,,,,,,,
Financial Reporting,Accounting conservatism and efficient project continuation revisited,Jochen Bigus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Behavioral Conservatism,Yasmin Hoffmann,Qian Zhang,Joaquin Peris Peris,,,,,,,,,,,,,,University of Mannheim,Tsinghua University,,,,,,,,,,,,,,
Financial Reporting,Reassessed Earnings with Capitalized Intangibles,Anup Srivastava,Aneel Iqbal,Shiva Rajgopal,Elnaz Basirianmahabadi,,,,,,,,,,,,,University of Calgary,Arizona State University,Columbia University,,,,,,,,,,,,,
Financial Reporting,Board interlocks and corporate risk disclosures,Amin Tavakkolnia,Dieter Smeulders,,,,,,,,,,,,,,,KU Leuven,,,,,,,,,,,,,,,
Financial Reporting,Market Reactions to Mandatory Climate Disclosure: Evidence from California’s Climate Accountability Laws,Tahmina Ahmed,Xing Huan,Gregory Saxton,,,,,,,,,,,,,,Niagara University,EDHEC Business School,,,,,,,,,,,,,,
Financial Reporting,What can we learn about expected credit losses from disclosure?,Argyro Panaretou,Sam Rawsthorne,,,,,,,,,,,,,,,Lancaster University,,,,,,,,,,,,,,,
Financial Reporting,Real Effects of Mandatory Forward-Looking Disclosures: Evidence from a Natural Experiment,Zhongwen Fan,Yifan Jia,XinWang,,,,,,,,,,,,,,City University of Hong Kong,Xiamen University,,,,,,,,,,,,,,
Financial Reporting,Peer Disclosure,Manyun Tang,Amir Amel-Zadeh,Kazbi Soonawalla,,,,,,,,,,,,,,"University of Oxford, Saïd Business School","University of Oxford, Saïd Business School",,,,,,,,,,,,,,
