Category,Name,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Uni_1,Uni_2,Uni_3,Uni_4,Uni_5,Uni_6
AU,,,,,,,,,,,,,
ED,,,,,,,,,,,,,
FA,,,,,,,,,,,,,
FR,,,,,,,,,,,,,
GV,,,,,,,,,,,,,
HI,,,,,,,,,,,,,
IC,,,,,,,,,,,,,
IS,,,,,,,,,,,,,
MA,,,,,,,,,,,,,
PSNP,,,,,,,,,,,,,
SEE,,,,,,,,,,,,,
TX,,,,,,,,,,,,,
Auditing,"Accounting scandals, auditor ratification, and institutional investors: evidence from the Wirecard scandal in Germany",Tessa Kunkel,,,,,,ESCP Business School,,,,,
Auditing,Media framing and the transformation of the UK audit regulator after Carillion,Alan Duboisee de Ricquebourg,Warren Maroun,Dannielle Cerbone,Wayne van Zijl,,,Leeds University Business School,Leeds University Business School,University of the Witwatersrand,University of the Witwatersrand,,
Auditing,Navigating credibility in unregulated assurance markets,Conor Clune,,,,,,UNSW Sydney,,,,,
Auditing,Do assigned audit partners perform higher quality audits than self-selected auditors?,Jan Bouwens,Olof Bik,Tjibbe Bosman,,,,University of Amsterdam,University of Groningen,,,,
Auditing,Local-office-unaffiliated engagement quality reviewers and audit quality: evidence from China,Weiyan Hu,Xuejiao Liu,Wenqi Pei,Baohua Xin,,,University of International Business and Economics,University of International Business and Economics,University of International Business and Economics,University of Toronto,,
Auditing,Political contributions by audit engagement partners surrounding the implementation of mandatory partner name disclosure in the US,Lianghui Wang,,,,,,Xi’an Jiaotong University,,,,,
Auditing,Critical audit matters and debt pricing: unveiling the moderating effect of corporate governance,Atm Karim,Tianhui Lu,Mohamed Elsayed,,,,Queen’s University Belfast,Lancaster University,Queen’s University Belfast,,,
Auditing,An examination of the impact of sanction on KAM disclosure: evidence from Taiwan,Shu-Ling Yeh,Ai-Ru Yen,Hsiao-Lun Lin,Anxuan Xie,,,National Taipei University,Northeastern Illinois University,National Taipei University,National Taipei University,,
Auditing,Educational distance between CEO and auditors: evidence from key audit matters and audit pricing in China,Zhenyuan Qian,Xiaogang Bi,Chen Bu,,,,University of Nottingham Ningbo China,University of Nottingham Ningbo China,,,,
Auditing,Auditing in times of crisis: evidence from the COVID-19 pandemic,Gilad Livne,,,,,,,,,,,
Auditing,Auditor resignation and internal control opinions in financially distressed firms,Emrah Ekici,Onur Oz,,,,,University of Wisconsin Eau Claire,,,,,
Auditing,Internal control audit deficiency rates and the quality of internal control audit opinions,Al Ghosh,,,,,,,,,,,
Auditing,Opportunistic CSR assurance and implied cost of equity,Yusuf Ag,Sardar Ahmad,Charlie Cai,,,,University of Southampton,University of Liverpool,,,,
Auditing,Short-selling threats and equity incentives to audit committees: evidence from Reg SHO,Simon Fung,Janus Jian Zhang,Zhenyu Zhang,Stephen Zhou,,,Deakin University,Hong Kong Baptist University,Hong Kong Baptist University,,,
Auditing,"When the dead still hire: zombie firms, audit signals, and employment outcomes",Fatemeh Anbarloo,Wenxia Ge,Tiemei (Sarah) Li,,,,University of Ottawa,University of Ottawa,,,,
Auditing,Residency beyond borders: executives’ foreign ties and audit pricing,Chen Bu,Ziyu Liu,,,,,University of Nottingham Ningbo China,,,,,
Auditing,Determinants of voluntary audit following reduced obligations: the case of SMEs in France after the “PACTE” law,Aymen Abbadi,Hélène de Brébisson,,,,,IAE Lille University,,,,,
Auditing,Monitoring the auditor: evidence from institutional investors’ votes,Luciana Orozco,Silvina Rubio,,,,,BI Norwegian Business School,,,,,
Auditing,"When auditors talk, do retail investors listen? Evidence from expanded audit",Lin Wang,Donghui Wu,Jianyu Zhao,Yifan Hou,,,Central University of Finance and Economics,The Chinese University of Hong Kong,Central University of Finance and Economics,,,
Auditing,When does audit quality pay off? Institutional development and the shift from signaling to compliance in auditor choice,Marit Kringlen,,,,,,,,,,,
Auditing,Auditors and AI: understanding identity threats and the process of normalization,Arina Hranovska,Martijn van der Steen,Lucia Bellora-Bienengräber,Sebastian Firk,Ann Tank,,University of Groningen,University of Groningen,University of Duisburg-Essen,University of Duisburg-Essen,,
Auditing,Availability of AI tools and their effect on the auditing process,Barbara Schöndube-Pirchegger,Jens Robert Schöndube,,,,,Otto von Guericke University Magdeburg,,,,,
Auditing,Can AI reduce audit quality? Cross-domain knowledge transfer and the cost of specialization,Yujing Gong,Yanxiong Gong,Rui Sun,,,,University of Liverpool,Bayes Business School,,,,
Auditing,Do all BIG 4 auditors deliver the same quality in Europe? Testing knowledge spillover vs self-interest threat in the NAFs–KAMs relationship,Anojan Vickneswaran,Ferdinand Gul,,,,,University of the Sunshine Coast,,,,,
Auditing,How large language models affect audit quality: causal evidence from a randomized field experiment,Markus Jezierski,Sascha Kaltenpoth,Oliver Müller,Barbara E. Weißenberger,,,Heinrich Heine University Düsseldorf,Paderborn University,Paderborn University,,,
Auditing,Do administrative staff matter for audit quality?,Feng Chen,Song Chen,Ting-Chiao Huang,Linda Myers,,,Monash University,Shanghai University of Finance and Economics,Monash Business School,,,
Auditing,Does auditor rotation deliver a fresh look? Evidence from the content and specificity of KAM disclosures,Yussu Hsiao,Wuchun Chi,Yu-Tzu Chang,Anxuan Xie,,,National Chengchi University,National Chengchi University,National Chengchi University,,,
Auditing,Negative environmental and climate news and environmental and climate-related critical audit matters,Wuchun Chi,Cheng-Yu Hsieh,Sabrina Kang,Shu-Hsien Lin,,,National Chengchi University,National Chengchi University,National Chengchi University,,,
Auditing,Key audit matters and their specific audit procedures – what audit reports tell us about audit quality at the account and entity level,Annalena Kaakschlief,Christoph Teucher,Nicole Ratzinger-Sakel,,,,University of Hamburg,University of Hamburg,,,,
Auditing,Media coverage and job entry in the audit profession,Janik Wecks,Johannes Voshaar,Jochen Zimmermann,,,,University of Bremen,University of Bremen,,,,
Auditing,"Does having accountant parents matter for auditors’ career choices, career advancement, and audit quality",Tobias Svanström,Limei Che,Oscar Stålnacke,,,,Umea University,Oslo Metropolitan University,,,,
Auditing,Do internally promoted auditors outperform externally hired ones?,Guoling Bu,Jun Chen,Christian Peters,,,,Zhejiang University,Zhejiang University,,,,
Auditing,Can rainmakers in accounting firm be both revenue stars and audit quality champions?,Ye Ji Lee,Younghan Lee,,,,,University of Seoul,,,,,
Auditing,Where proxies meet practice: qualitative insights into audit quality measurement,Markus Mottinger,Alexander Hofer,,,,,LMU Munich,,,,,
